start_date,end_date,content_text,category,facet,year,placement,nationality,venue,location,state,score,margin,from_par,prize
1942,,Born: 1942,Born,"Floyd, Raymond",1942,,United States,,,,,,,
1964,,14th place,Placed,"Floyd, Raymond",1964,14,United States,,,,,,,
1965,,6th place,Placed,"Floyd, Raymond",1965,6,United States,,,,,,,
1966,,Withdrew from tournament,Withdrew,"Floyd, Raymond",1966,,United States,,,,,,,
1967,,38th place,Placed,"Floyd, Raymond",1967,38,United States,,,,,,,
1969,,13th place,Placed,"Floyd, Raymond",1969,13,United States,,,,,,,
1970,,22nd place,Placed,"Floyd, Raymond",1970,22,United States,,,,,,,
1971,,8th place,Placed,"Floyd, Raymond",1971,8,United States,,,,,,,
1972,,Cut from tournament,Cut,"Floyd, Raymond",1972,,United States,,,,,,,
1973,,16th place,Placed,"Floyd, Raymond",1973,16,United States,,,,,,,
1974,,15th place,Placed,"Floyd, Raymond",1974,15,United States,,,,,,,
1975,,12th place,Placed,"Floyd, Raymond",1975,12,United States,,,,,,,
1976,,13th place,Placed,"Floyd, Raymond",1976,13,United States,,,,,,,
1977,,47th place,Placed,"Floyd, Raymond",1977,47,United States,,,,,,,
1978,,12th place,Placed,"Floyd, Raymond",1978,12,United States,,,,,,,
1979,,Cut from tournament,Cut,"Floyd, Raymond",1979,,United States,,,,,,,
1980,,47th place,Placed,"Floyd, Raymond",1980,47,United States,,,,,,,
1981,,37th place,Placed,"Floyd, Raymond",1981,37,United States,,,,,,,
1982,,49th place,Placed,"Floyd, Raymond",1982,49,United States,,,,,,,
1983,,13th place,Placed,"Floyd, Raymond",1983,13,United States,,,,,,,
1984,,52nd place,Placed,"Floyd, Raymond",1984,52,United States,,,,,,,
1985,,23rd place,Placed,"Floyd, Raymond",1985,23,United States,,,,,,,
1986,,"Raymond Floyd wins at Shinnecock Hills Golf Club (Shinnecock Hills, New York) with a score of 279 (-1) and by a margin of 2 strokes, earning $115,000.",Victory,"Floyd, Raymond",1986,1,United States,Shinnecock Hills Golf Club,"Shinnecock Hills, New York",New York,279,2,-1,"115,000.00"
1987,,43rd place,Placed,"Floyd, Raymond",1987,43,United States,,,,,,,
1988,,17th place,Placed,"Floyd, Raymond",1988,17,United States,,,,,,,
1989,,26th place,Placed,"Floyd, Raymond",1989,26,United States,,,,,,,
1990,,Cut from tournament,Cut,"Floyd, Raymond",1990,,United States,,,,,,,
1991,,8th place,Placed,"Floyd, Raymond",1991,8,United States,,,,,,,
1992,,44th place,Placed,"Floyd, Raymond",1992,44,United States,,,,,,,
1993,,7th place,Placed,"Floyd, Raymond",1993,7,United States,,,,,,,
1995,,36th place,Placed,"Floyd, Raymond",1995,36,United States,,,,,,,
2004,,Cut from tournament,Cut,"Floyd, Raymond",2004,,United States,,,,,,,
1871,,Born: 1871,Born,"Foulis, James",1871,,United Kingdom,,,,,,,
1895,,3rd place,Placed,"Foulis, James",1895,3,United Kingdom,,,,,,,
1896,,"James Foulis wins at Shinnecock Hills Golf Club (Shinnecock Hills, New York) with a score of 152 and by a margin of 3 strokes, earning $150.",Victory,"Foulis, James",1896,1,United Kingdom,Shinnecock Hills Golf Club,"Shinnecock Hills, New York",New York,152,3,,150.00
1897,,3rd place,Placed,"Foulis, James",1897,3,United Kingdom,,,,,,,
1898,,Withdrew from tournament,Withdrew,"Foulis, James",1898,,United Kingdom,,,,,,,
1899,,18th place,Placed,"Foulis, James",1899,18,United Kingdom,,,,,,,
1900,,14th place,Placed,"Foulis, James",1900,14,United Kingdom,,,,,,,
1901,,11th place,Placed,"Foulis, James",1901,11,United Kingdom,,,,,,,
1902,,20th place,Placed,"Foulis, James",1902,20,United Kingdom,,,,,,,
1903,,Withdrew from tournament,Withdrew,"Foulis, James",1903,,United Kingdom,,,,,,,
1904,,9th place,Placed,"Foulis, James",1904,9,United Kingdom,,,,,,,
1905,,32nd place,Placed,"Foulis, James",1905,32,United Kingdom,,,,,,,
1906,,22nd place,Placed,"Foulis, James",1906,22,United Kingdom,,,,,,,
1911,,47th place,Placed,"Foulis, James",1911,47,United Kingdom,,,,,,,
1928,,Died: 1928,Died,"Foulis, James",1928,,United Kingdom,,,,,,,
1917,,Born: 1917,Born,"Furgol, Ed",1917,,United States,,,,,,,
1946,,12th place,Placed,"Furgol, Ed",1946,12,United States,,,,,,,
1947,,13th place,Placed,"Furgol, Ed",1947,13,United States,,,,,,,
1948,,45th place,Placed,"Furgol, Ed",1948,45,United States,,,,,,,
1949,,Cut from tournament,Cut,"Furgol, Ed",1949,,United States,,,,,,,
1950,,Cut from tournament,Cut,"Furgol, Ed",1950,,United States,,,,,,,
1951,,Cut from tournament,Cut,"Furgol, Ed",1951,,United States,,,,,,,
1952,,Cut from tournament,Cut,"Furgol, Ed",1952,,United States,,,,,,,
1953,,Cut from tournament,Cut,"Furgol, Ed",1953,,United States,,,,,,,
1954,,"Ed Furgol wins at Baltusrol Golf Club, Lower Course (Springfield, New Jersey) with a score of 284 (+4) and by a margin of 1 stroke, earning $6,000.",Victory,"Furgol, Ed",1954,1,United States,"Baltusrol Golf Club, Lower Course","Springfield, New Jersey",New Jersey,284,1,4,"6,000.00"
1955,,45th place,Placed,"Furgol, Ed",1955,45,United States,,,,,,,
1956,,4th place,Placed,"Furgol, Ed",1956,4,United States,,,,,,,
1957,,Cut from tournament,Cut,"Furgol, Ed",1957,,United States,,,,,,,
1958,,Cut from tournament,Cut,"Furgol, Ed",1958,,United States,,,,,,,
1959,,Cut from tournament,Cut,"Furgol, Ed",1959,,United States,,,,,,,
1960,,Cut from tournament,Cut,"Furgol, Ed",1960,,United States,,,,,,,
1961,,Cut from tournament,Cut,"Furgol, Ed",1961,,United States,,,,,,,
1962,,Cut from tournament,Cut,"Furgol, Ed",1962,,United States,,,,,,,
1963,,38th place,Placed,"Furgol, Ed",1963,38,United States,,,,,,,
1964,,14th place,Placed,"Furgol, Ed",1964,14,United States,,,,,,,
1965,,Cut from tournament,Cut,"Furgol, Ed",1965,,United States,,,,,,,
1966,,Cut from tournament,Cut,"Furgol, Ed",1966,,United States,,,,,,,
1997,,Died: 1997,Died,"Furgol, Ed",1997,,United States,,,,,,,
1970,,Born: 1970,Born,"Furyk, Jim",1970,,United States,,,,,,,
1994,,28th place,Placed,"Furyk, Jim",1994,28,United States,,,,,,,
1996,,5th place,Placed,"Furyk, Jim",1996,5,United States,,,,,,,
1997,,5th place,Placed,"Furyk, Jim",1997,5,United States,,,,,,,
1998,,14th place,Placed,"Furyk, Jim",1998,14,United States,,,,,,,
1999,,17th place,Placed,"Furyk, Jim",1999,17,United States,,,,,,,
2000,,60th place,Placed,"Furyk, Jim",2000,60,United States,,,,,,,
2001,,62nd place,Placed,"Furyk, Jim",2001,62,United States,,,,,,,
2002,,Cut from tournament,Cut,"Furyk, Jim",2002,,United States,,,,,,,
2003,,"Jim Furyk wins at Olympia Fields Country Club, North Course (Olympia Fields, Illinois) with a score of 272 (-8) and by a margin of 3 strokes, earning $1,080,000.",Victory,"Furyk, Jim",2003,1,United States,"Olympia Fields Country Club, North Course","Olympia Fields, Illinois",Illinois,272,3,-8,"1,080,000.00"
2004,,48th place,Placed,"Furyk, Jim",2004,48,United States,,,,,,,
2005,,28th place,Placed,"Furyk, Jim",2005,28,United States,,,,,,,
2006,,2nd place,Placed,"Furyk, Jim",2006,2,United States,,,,,,,
2007,,2nd place,Placed,"Furyk, Jim",2007,2,United States,,,,,,,
2008,,36th place,Placed,"Furyk, Jim",2008,36,United States,,,,,,,
2009,,33rd place,Placed,"Furyk, Jim",2009,33,United States,,,,,,,
2010,,16th place,Placed,"Furyk, Jim",2010,16,United States,,,,,,,
2011,,Cut from tournament,Cut,"Furyk, Jim",2011,,United States,,,,,,,
2012,,4th place,Placed,"Furyk, Jim",2012,4,United States,,,,,,,
2013,,Cut from tournament,Cut,"Furyk, Jim",2013,,United States,,,,,,,
2014,,12th place,Placed,"Furyk, Jim",2014,12,United States,,,,,,,
2015,,42nd place,Placed,"Furyk, Jim",2015,42,United States,,,,,,,
2016,,2nd place,Placed,"Furyk, Jim",2016,2,United States,,,,,,,
1979,,Born: 1979,Born,"Glover, Lucas",1979,,United States,,,,,,,
2002,,Cut from tournament,Cut,"Glover, Lucas",2002,,United States,,,,,,,
2006,,Cut from tournament,Cut,"Glover, Lucas",2006,,United States,,,,,,,
2007,,Cut from tournament,Cut,"Glover, Lucas",2007,,United States,,,,,,,
2009,,"Lucas Glover wins at Bethpage State Park, Black Course (Farmingdale, New York) with a score of 276 (-4) and by a margin of 2 strokes, earning $1,350,000.",Victory,"Glover, Lucas",2009,1,United States,"Bethpage State Park, Black Course","Farmingdale, New York",New York,276,2,-4,"1,350,000.00"
2010,,58th place,Placed,"Glover, Lucas",2010,58,United States,,,,,,,
2011,,42nd place,Placed,"Glover, Lucas",2011,42,United States,,,,,,,
2012,,Cut from tournament,Cut,"Glover, Lucas",2012,,United States,,,,,,,
2013,,Cut from tournament,Cut,"Glover, Lucas",2013,,United States,,,,,,,
2014,,Cut from tournament,Cut,"Glover, Lucas",2014,,United States,,,,,,,
2015,,Cut from tournament,Cut,"Glover, Lucas",2015,,United States,,,,,,,
2016,,Cut from tournament,Cut,"Glover, Lucas",2016,,United States,,,,,,,
1909,,Born: 1909,Born,"Goodman, Johnny",1909,,United States,,,,,,,
1929,,45th place,Placed,"Goodman, Johnny",1929,45,United States,,,,,,,
1930,,11th place,Placed,"Goodman, Johnny",1930,11,United States,,,,,,,
1932,,14th place,Placed,"Goodman, Johnny",1932,14,United States,,,,,,,
1933,,"Johnny Goodman (an amateur) wins at North Shore Country Club (Glenview, Illinois) with a score of 287 (-1) and by a margin of 1 stroke.",Victory,"Goodman, Johnny",1933,1,United States,North Shore Country Club,"Glenview, Illinois",Illinois,287,1,-1,0.00
1934,,43rd place,Placed,"Goodman, Johnny",1934,43,United States,,,,,,,
1935,,36th place,Placed,"Goodman, Johnny",1935,36,United States,,,,,,,
1936,,22nd place,Placed,"Goodman, Johnny",1936,22,United States,,,,,,,
1937,,8th place,Placed,"Goodman, Johnny",1937,8,United States,,,,,,,
1939,,Cut from tournament,Cut,"Goodman, Johnny",1939,,United States,,,,,,,
1940,,Cut from tournament,Cut,"Goodman, Johnny",1940,,United States,,,,,,,
1941,,Cut from tournament,Cut,"Goodman, Johnny",1941,,United States,,,,,,,
1946,,Cut from tournament,Cut,"Goodman, Johnny",1946,,United States,,,,,,,
1983,,Died: 1983,Died,"Goodman, Johnny",1983,,United States,,,,,,,
1969,,Born: 1969,Born,"Goosen, Retief",1969,,South Africa,,,,,,,
1998,,Cut from tournament,Cut,"Goosen, Retief",1998,,South Africa,,,,,,,
1999,,Cut from tournament,Cut,"Goosen, Retief",1999,,South Africa,,,,,,,
2000,,12th place,Placed,"Goosen, Retief",2000,12,South Africa,,,,,,,
2001,,"Retief Goosen wins at Southern Hills Country Club (Tulsa, Oklahoma) with a score of 276 (-4) in a playoff, earning $900,000.",Victory,"Goosen, Retief",2001,1,South Africa,Southern Hills Country Club,"Tulsa, Oklahoma",Oklahoma,276,0,-4,"900,000.00"
2002,,Cut from tournament,Cut,"Goosen, Retief",2002,,South Africa,,,,,,,
2003,,42nd place,Placed,"Goosen, Retief",2003,42,South Africa,,,,,,,
2004,,"Retief Goosen wins for the 2nd time at Shinnecock Hills Golf Club (Shinnecock Hills, New York) with a score of 276 (-4) and by a margin of 2 strokes, earning $1,125,000.",Victory,"Goosen, Retief",2004,1,South Africa,Shinnecock Hills Golf Club,"Shinnecock Hills, New York",New York,276,2,-4,"1,125,000.00"
2005,,11th place,Placed,"Goosen, Retief",2005,11,South Africa,,,,,,,
2006,,Cut from tournament,Cut,"Goosen, Retief",2006,,South Africa,,,,,,,
2007,,Cut from tournament,Cut,"Goosen, Retief",2007,,South Africa,,,,,,,
2008,,14th place,Placed,"Goosen, Retief",2008,14,South Africa,,,,,,,
2009,,16th place,Placed,"Goosen, Retief",2009,16,South Africa,,,,,,,
2010,,58th place,Placed,"Goosen, Retief",2010,58,South Africa,,,,,,,
2011,,23rd place,Placed,"Goosen, Retief",2011,23,South Africa,,,,,,,
2012,,10th place,Placed,"Goosen, Retief",2012,10,South Africa,,,,,,,
2014,,45th place,Placed,"Goosen, Retief",2014,45,South Africa,,,,,,,
2015,,Cut from tournament,Cut,"Goosen, Retief",2015,,South Africa,,,,,,,
2016,,Cut from tournament,Cut,"Goosen, Retief",2016,,South Africa,,,,,,,
1946,,Born: 1946,Born,"Graham, David",1946,,Australia,,,,,,,
1970,,Cut from tournament,Cut,"Graham, David",1970,,Australia,,,,,,,
1971,,Cut from tournament,Cut,"Graham, David",1971,,Australia,,,,,,,
1972,,47th place,Placed,"Graham, David",1972,47,Australia,,,,,,,
1973,,58th place,Placed,"Graham, David",1973,58,Australia,,,,,,,
1974,,18th place,Placed,"Graham, David",1974,18,Australia,,,,,,,
1975,,29th place,Placed,"Graham, David",1975,29,Australia,,,,,,,
1976,,Cut from tournament,Cut,"Graham, David",1976,,Australia,,,,,,,
1977,,Cut from tournament,Cut,"Graham, David",1977,,Australia,,,,,,,
1978,,Cut from tournament,Cut,"Graham, David",1978,,Australia,,,,,,,
1979,,7th place,Placed,"Graham, David",1979,7,Australia,,,,,,,
1980,,47th place,Placed,"Graham, David",1980,47,Australia,,,,,,,
1981,,"David Graham wins at Merion Golf Club, East Course (Ardmore, Pennsylvania) with a score of 273 (-7) and by a margin of 3 strokes, earning $55,000.",Victory,"Graham, David",1981,1,Australia,"Merion Golf Club, East Course","Ardmore, Pennsylvania",Pennsylvania,273,3,-7,"55,000.00"
1982,,6th place,Placed,"Graham, David",1982,6,Australia,,,,,,,
1983,,8th place,Placed,"Graham, David",1983,8,Australia,,,,,,,
1984,,21st place,Placed,"Graham, David",1984,21,Australia,,,,,,,
1985,,23rd place,Placed,"Graham, David",1985,23,Australia,,,,,,,
1986,,15th place,Placed,"Graham, David",1986,15,Australia,,,,,,,
1987,,51st place,Placed,"Graham, David",1987,51,Australia,,,,,,,
1988,,47th place,Placed,"Graham, David",1988,47,Australia,,,,,,,
1989,,61st place,Placed,"Graham, David",1989,61,Australia,,,,,,,
1990,,64th place,Placed,"Graham, David",1990,64,Australia,,,,,,,
1991,,60th place,Placed,"Graham, David",1991,60,Australia,,,,,,,
1938,,Born: 1938,Born,"Graham, Lou",1938,,United States,,,,,,,
1963,,Cut from tournament,Cut,"Graham, Lou",1963,,United States,,,,,,,
1964,,Cut from tournament,Cut,"Graham, Lou",1964,,United States,,,,,,,
1965,,23rd place,Placed,"Graham, Lou",1965,23,United States,,,,,,,
1966,,Cut from tournament,Cut,"Graham, Lou",1966,,United States,,,,,,,
1967,,28th place,Placed,"Graham, Lou",1967,28,United States,,,,,,,
1970,,46th place,Placed,"Graham, Lou",1970,46,United States,,,,,,,
1971,,37th place,Placed,"Graham, Lou",1971,37,United States,,,,,,,
1972,,19th place,Placed,"Graham, Lou",1972,19,United States,,,,,,,
1973,,Cut from tournament,Cut,"Graham, Lou",1973,,United States,,,,,,,
1974,,3rd place,Placed,"Graham, Lou",1974,3,United States,,,,,,,
1975,,"Lou Graham wins at Medinah Country Club, Course No. 3 (Medinah, Illinois) with a score of 287 (+3) in a playoff, earning $40,000.",Victory,"Graham, Lou",1975,1,United States,"Medinah Country Club, Course No. 3","Medinah, Illinois",Illinois,287,0,3,"40,000.00"
1976,,28th place,Placed,"Graham, Lou",1976,28,United States,,,,,,,
1977,,2nd place,Placed,"Graham, Lou",1977,2,United States,,,,,,,
1978,,35th place,Placed,"Graham, Lou",1978,35,United States,,,,,,,
1979,,25th place,Placed,"Graham, Lou",1979,25,United States,,,,,,,
1980,,51st place,Placed,"Graham, Lou",1980,51,United States,,,,,,,
1981,,Cut from tournament,Cut,"Graham, Lou",1981,,United States,,,,,,,
1982,,39th place,Placed,"Graham, Lou",1982,39,United States,,,,,,,
1983,,50th place,Placed,"Graham, Lou",1983,50,United States,,,,,,,
1984,,Cut from tournament,Cut,"Graham, Lou",1984,,United States,,,,,,,
1985,,Cut from tournament,Cut,"Graham, Lou",1985,,United States,,,,,,,
1946,,Born: 1946,Born,"Green, Hubert",1946,,United States,,,,,,,
1972,,55th place,Placed,"Green, Hubert",1972,55,United States,,,,,,,
1973,,Cut from tournament,Cut,"Green, Hubert",1973,,United States,,,,,,,
1974,,26th place,Placed,"Green, Hubert",1974,26,United States,,,,,,,
1975,,18th place,Placed,"Green, Hubert",1975,18,United States,,,,,,,
1976,,6th place,Placed,"Green, Hubert",1976,6,United States,,,,,,,
1977,,"Hubert Green wins at Southern Hills Country Club (Tulsa, Oklahoma) with a score of 278 (-2) and by a margin of 1 stroke, earning $45,000.",Victory,"Green, Hubert",1977,1,United States,Southern Hills Country Club,"Tulsa, Oklahoma",Oklahoma,278,1,-2,"45,000.00"
1978,,Cut from tournament,Cut,"Green, Hubert",1978,,United States,,,,,,,
1979,,24th place,Placed,"Green, Hubert",1979,24,United States,,,,,,,
1980,,32nd place,Placed,"Green, Hubert",1980,32,United States,,,,,,,
1981,,37th place,Placed,"Green, Hubert",1981,37,United States,,,,,,,
1982,,Cut from tournament,Cut,"Green, Hubert",1982,,United States,,,,,,,
1983,,60th place,Placed,"Green, Hubert",1983,60,United States,,,,,,,
1984,,30th place,Placed,"Green, Hubert",1984,30,United States,,,,,,,
1985,,Cut from tournament,Cut,"Green, Hubert",1985,,United States,,,,,,,
1986,,55th place,Placed,"Green, Hubert",1986,55,United States,,,,,,,
1987,,Cut from tournament,Cut,"Green, Hubert",1987,,United States,,,,,,,
1988,,Cut from tournament,Cut,"Green, Hubert",1988,,United States,,,,,,,
1989,,9th place,Placed,"Green, Hubert",1989,9,United States,,,,,,,
1990,,Cut from tournament,Cut,"Green, Hubert",1990,,United States,,,,,,,
1911,,Born: 1911,Born,"Guldahl, Ralph",1911,,United States,,,,,,,
1930,,39th place,Placed,"Guldahl, Ralph",1930,39,United States,,,,,,,
1931,,32nd place,Placed,"Guldahl, Ralph",1931,32,United States,,,,,,,
1932,,58th place,Placed,"Guldahl, Ralph",1932,58,United States,,,,,,,
1933,,2nd place,Placed,"Guldahl, Ralph",1933,2,United States,,,,,,,
1934,,8th place,Placed,"Guldahl, Ralph",1934,8,United States,,,,,,,
1935,,40th place,Placed,"Guldahl, Ralph",1935,40,United States,,,,,,,
1936,,8th place,Placed,"Guldahl, Ralph",1936,8,United States,,,,,,,
1937,,"Ralph Guldahl wins at Oakland Hills Country Club, South Course (Bloomfield Hills, Michigan) with a score of 281 (+1) and by a margin of 2 strokes, earning $1,000.",Victory,"Guldahl, Ralph",1937,1,United States,"Oakland Hills Country Club, South Course","Bloomfield Hills, Michigan",Michigan,281,2,1,"1,000.00"
1938,,"Ralph Guldahl wins for the 2nd time at Cherry Hills Country Club (Cherry Hills Village, Colorado) with a score of 284 (E) and by a margin of 6 strokes, earning $1,000.",Victory,"Guldahl, Ralph",1938,1,United States,Cherry Hills Country Club,"Cherry Hills Village, Colorado",Colorado,284,6,0,"1,000.00"
1939,,7th place,Placed,"Guldahl, Ralph",1939,7,United States,,,,,,,
1940,,5th place,Placed,"Guldahl, Ralph",1940,5,United States,,,,,,,
1941,,21st place,Placed,"Guldahl, Ralph",1941,21,United States,,,,,,,
1946,,Cut from tournament,Cut,"Guldahl, Ralph",1946,,United States,,,,,,,
1947,,55th place,Placed,"Guldahl, Ralph",1947,55,United States,,,,,,,
1948,,32nd place,Placed,"Guldahl, Ralph",1948,32,United States,,,,,,,
1949,,22nd place,Placed,"Guldahl, Ralph",1949,22,United States,,,,,,,
1987,,Died: 1987,Died,"Guldahl, Ralph",1987,,United States,,,,,,,
1892,,Born: 1892,Born,"Hagen, Walter",1892,,United States,,,,,,,
1913,,4th place,Placed,"Hagen, Walter",1913,4,United States,,,,,,,
1914,,"Walter Hagen wins at Midlothian Country Club (Midlothian, Illinois) with a score of 290 and by a margin of 1 stroke, earning $300.",Victory,"Hagen, Walter",1914,1,United States,Midlothian Country Club,"Midlothian, Illinois",Illinois,290,1,,300.00
1915,,10th place,Placed,"Hagen, Walter",1915,10,United States,,,,,,,
1916,,7th place,Placed,"Hagen, Walter",1916,7,United States,,,,,,,
1919,,"Walter Hagen wins for the 2nd time at Brae Burn Country Club, Main Course (West Newton, Massachusetts) with a score of 301 in a playoff, earning $500.",Victory,"Hagen, Walter",1919,1,United States,"Brae Burn Country Club, Main Course","West Newton, Massachusetts",Massachusetts,301,0,,500.00
1920,,11th place,Placed,"Hagen, Walter",1920,11,United States,,,,,,,
1921,,2nd place,Placed,"Hagen, Walter",1921,2,United States,,,,,,,
1922,,5th place,Placed,"Hagen, Walter",1922,5,United States,,,,,,,
1923,,18th place,Placed,"Hagen, Walter",1923,18,United States,,,,,,,
1924,,4th place,Placed,"Hagen, Walter",1924,4,United States,,,,,,,
1925,,5th place,Placed,"Hagen, Walter",1925,5,United States,,,,,,,
1926,,7th place,Placed,"Hagen, Walter",1926,7,United States,,,,,,,
1927,,6th place,Placed,"Hagen, Walter",1927,6,United States,,,,,,,
1928,,4th place,Placed,"Hagen, Walter",1928,4,United States,,,,,,,
1929,,19th place,Placed,"Hagen, Walter",1929,19,United States,,,,,,,
1930,,17th place,Placed,"Hagen, Walter",1930,17,United States,,,,,,,
1931,,7th place,Placed,"Hagen, Walter",1931,7,United States,,,,,,,
1932,,10th place,Placed,"Hagen, Walter",1932,10,United States,,,,,,,
1933,,4th place,Placed,"Hagen, Walter",1933,4,United States,,,,,,,
1934,,58th place,Placed,"Hagen, Walter",1934,58,United States,,,,,,,
1935,,3rd place,Placed,"Hagen, Walter",1935,3,United States,,,,,,,
1936,,33rd place,Placed,"Hagen, Walter",1936,33,United States,,,,,,,
1940,,Disqualified from tournament,Disqualified,"Hagen, Walter",1940,,United States,,,,,,,
1969,,Died: 1969,Died,"Hagen, Walter",1969,,United States,,,,,,,
1873,,Born: 1873,Born,"Herd, Fred",1873,,United Kingdom,,,,,,,
1898,,"Fred Herd wins at Myopia Hunt Club (South Hamilton, Massachusetts) with a score of 328 and by a margin of 7 strokes, earning $150.",Victory,"Herd, Fred",1898,1,United Kingdom,Myopia Hunt Club,"South Hamilton, Massachusetts",Massachusetts,328,7,,150.00
1899,,25th place,Placed,"Herd, Fred",1899,25,United Kingdom,,,,,,,
1900,,16th place,Placed,"Herd, Fred",1900,16,United Kingdom,,,,,,,
1902,,24th place,Placed,"Herd, Fred",1902,24,United Kingdom,,,,,,,
1954,,Died: 1954,Died,"Herd, Fred",1954,,United Kingdom,,,,,,,
1912,,Born: 1912,Born,"Hogan, Ben",1912,,United States,,,,,,,
1934,,Cut from tournament,Cut,"Hogan, Ben",1934,,United States,,,,,,,
1936,,Cut from tournament,Cut,"Hogan, Ben",1936,,United States,,,,,,,
1938,,Cut from tournament,Cut,"Hogan, Ben",1938,,United States,,,,,,,
1939,,62nd place,Placed,"Hogan, Ben",1939,62,United States,,,,,,,
1940,,5th place,Placed,"Hogan, Ben",1940,5,United States,,,,,,,
1941,,3rd place,Placed,"Hogan, Ben",1941,3,United States,,,,,,,
1946,,4th place,Placed,"Hogan, Ben",1946,4,United States,,,,,,,
1947,,6th place,Placed,"Hogan, Ben",1947,6,United States,,,,,,,
1948,,"Ben Hogan wins at Riviera Country Club (Pacific Palisades, California) with a score of 276 (-8) and by a margin of 2 strokes, earning $2,000.",Victory,"Hogan, Ben",1948,1,United States,Riviera Country Club,"Pacific Palisades, California",California,276,2,-8,"2,000.00"
1950,,"Ben Hogan wins for the 2nd time at Merion Golf Club, East Course (Ardmore, Pennsylvania) with a score of 287 (+7) in a playoff, earning $4,000.",Victory,"Hogan, Ben",1950,1,United States,"Merion Golf Club, East Course","Ardmore, Pennsylvania",Pennsylvania,287,0,7,"4,000.00"
1951,,"Ben Hogan wins for the 3rd time at Oakland Hills Country Club, South Course (Bloomfield Hills, Michigan) with a score of 287 (+7) and by a margin of 2 strokes, earning $4,000.",Victory,"Hogan, Ben",1951,1,United States,"Oakland Hills Country Club, South Course","Bloomfield Hills, Michigan",Michigan,287,2,7,"4,000.00"
1952,,3rd place,Placed,"Hogan, Ben",1952,3,United States,,,,,,,
1953,,"Ben Hogan wins for the 4th time at Oakmont Country Club (Oakmont, Pennsylvania) with a score of 283 (-5) and by a margin of 6 strokes, earning $5,000. With this victory, he holds the record for most U.S Open victories (tied with Willie Anderson, Bobby Jones, and Jack Nicklaus)",Victory,"Hogan, Ben",1953,1,United States,Oakmont Country Club,"Oakmont, Pennsylvania",Pennsylvania,283,6,-5,"5,000.00"
1954,,6th place,Placed,"Hogan, Ben",1954,6,United States,,,,,,,
1955,,2nd place,Placed,"Hogan, Ben",1955,2,United States,,,,,,,
1956,,2nd place,Placed,"Hogan, Ben",1956,2,United States,,,,,,,
1958,,10th place,Placed,"Hogan, Ben",1958,10,United States,,,,,,,
1959,,8th place,Placed,"Hogan, Ben",1959,8,United States,,,,,,,
1960,,9th place,Placed,"Hogan, Ben",1960,9,United States,,,,,,,
1961,,14th place,Placed,"Hogan, Ben",1961,14,United States,,,,,,,
1966,,12th place,Placed,"Hogan, Ben",1966,12,United States,,,,,,,
1967,,34th place,Placed,"Hogan, Ben",1967,34,United States,,,,,,,
1997,,Died: 1997,Died,"Hogan, Ben",1997,,United States,,,,,,,
1945,,Born: 1945,Born,"Irwin, Hale",1945,,United States,,,,,,,
1966,,61st place,Placed,"Irwin, Hale",1966,61,United States,,,,,,,
1971,,19th place,Placed,"Irwin, Hale",1971,19,United States,,,,,,,
1972,,36th place,Placed,"Irwin, Hale",1972,36,United States,,,,,,,
1973,,20th place,Placed,"Irwin, Hale",1973,20,United States,,,,,,,
1974,,"Hale Irwin wins at Winged Foot Golf Club, West Course (Mamaroneck, New York) with a score of 287 (+7) and by a margin of 2 strokes, earning $35,000.",Victory,"Irwin, Hale",1974,1,United States,"Winged Foot Golf Club, West Course","Mamaroneck, New York",New York,287,2,7,"35,000.00"
1975,,3rd place,Placed,"Irwin, Hale",1975,3,United States,,,,,,,
1976,,26th place,Placed,"Irwin, Hale",1976,26,United States,,,,,,,
1977,,41st place,Placed,"Irwin, Hale",1977,41,United States,,,,,,,
1978,,4th place,Placed,"Irwin, Hale",1978,4,United States,,,,,,,
1979,,"Hale Irwin wins for the 2nd time at Inverness Club (Toledo, Ohio) with a score of 284 (E) and by a margin of 2 strokes, earning $50,000.",Victory,"Irwin, Hale",1979,1,United States,Inverness Club,"Toledo, Ohio",Ohio,284,2,0,"50,000.00"
1980,,8th place,Placed,"Irwin, Hale",1980,8,United States,,,,,,,
1981,,58th place,Placed,"Irwin, Hale",1981,58,United States,,,,,,,
1982,,39th place,Placed,"Irwin, Hale",1982,39,United States,,,,,,,
1983,,39th place,Placed,"Irwin, Hale",1983,39,United States,,,,,,,
1984,,6th place,Placed,"Irwin, Hale",1984,6,United States,,,,,,,
1985,,14th place,Placed,"Irwin, Hale",1985,14,United States,,,,,,,
1986,,Cut from tournament,Cut,"Irwin, Hale",1986,,United States,,,,,,,
1987,,Cut from tournament,Cut,"Irwin, Hale",1987,,United States,,,,,,,
1988,,17th place,Placed,"Irwin, Hale",1988,17,United States,,,,,,,
1989,,54th place,Placed,"Irwin, Hale",1989,54,United States,,,,,,,
1990,,"Hale Irwin wins for the 3rd time at Medinah Country Club, Course No. 3 (Medinah, Illinois) with a score of 280 (-8) in a playoff, earning $220,000. To date, he was the oldest golfer to win the U.S Open at 45 years of age.",Victory,"Irwin, Hale",1990,1,United States,"Medinah Country Club, Course No. 3","Medinah, Illinois",Illinois,280,0,-8,"220,000.00"
1991,,11th place,Placed,"Irwin, Hale",1991,11,United States,,,,,,,
1992,,51st place,Placed,"Irwin, Hale",1992,51,United States,,,,,,,
1993,,62nd place,Placed,"Irwin, Hale",1993,62,United States,,,,,,,
